tema_id,subtema,nombre_completo,coef_ridge,coef_logit,correlacion,docs_con_feature,intensidad_media,contribucion_pct
0,agua,Servicios e Infraestructura Pública - Agua,0.06029614580815252,0.040558751353943975,0.20231457846296383,1216,0.012918783212421762,2.1745114505352277
0,basura,Servicios e Infraestructura Pública - Basura,0.2539868753372916,0.044174053411047326,0.5036299489910022,2343,-0.03951433830190081,9.15974580637174
0,alumbrado,Servicios e Infraestructura Pública - Alumbrado,0.11707486807404006,0.07924602951841184,0.22429052093037793,931,0.07305462857059032,4.222171048990663
1,delitos_patrimoniales,Seguridad y Criminalidad - Delitos_patrimoniales,0.2588720433289125,0.02050247728896775,0.29197019669058466,1392,-0.07398162654498809,9.335923795747167
1,violencia_crimen_organizado,Seguridad y Criminalidad - Violencia_crimen_organizado,0.3543584514089819,0.02629624612445345,0.3998382638331305,2337,-0.08208388665157094,12.77953175704602
1,violencia_personas,Seguridad y Criminalidad - Violencia_personas,0.25804718457306725,0.023742057644408808,0.30998758200077187,1291,-0.07039028459454585,9.306176209303304
1,prevencion_vigilancia,Seguridad y Criminalidad - Prevencion_vigilancia,0.24345069947210024,0.08479675829534883,0.2873855159159902,1620,0.05439826014587208,8.779770689278704
2,drenaje,Medio Ambiente y Servicios de Agua - Drenaje,0.10250011733208796,0.003983416494331935,0.14826277080936553,199,-0.0827911455277269,3.696549353734869
2,pavimento,Medio Ambiente y Servicios de Agua - Pavimento,0.09276933042379522,0.008514666725836596,0.100534540285212,250,-0.0474420642791782,3.3456196670824943
2,vialidad,Medio Ambiente y Servicios de Agua - Vialidad,0.09125850499358326,0.013954616948346547,0.10565639084667033,1243,-0.04928694555775804,3.291133478061247
3,obras,Obra Pública e Inversión - Obras,0.2432691945830179,0.07226652100776135,0.3048358225013121,2205,0.027393219154188655,8.773224923303987
4,educacion,Educación y Cultura - Educacion,0.2384360521821416,0.07289276658265509,0.45723248703507485,1712,0.01424903332503619,8.59892317728174
4,cultura,Educación y Cultura - Cultura,0.22440748745381434,0.05907685256074929,0.46003811410565837,1663,0.009225049969962377,8.092999055143279
6,gobierno,Gobernanza y Administración Pública - Gobierno,0.23413247382467645,0.048147695214380004,0.4925405658320498,5562,-0.020558572922592607,8.443719552055695
